name,kind,domain,omics_type,contributing_projects,n_projects,n_implementations,licenses,integration_mode,redistributable,signature,external_deps,source_paths,description,native_connectors,availability
get_drug_name_by_labor_and_delivery_info,tool,openFDA drug labeling,general,OrigeneMCP,1,2,NONE,adapter-only,False,"get_drug_name_by_labor_and_delivery_info(labor_and_delivery_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves information about the drug’s use during labor or delivery based on the drug name. Args: drug_name: The brand or generic name of the drug. Query example: {""drug_name"": ""Ampicillin and Sulbactam""} Returns: A dictionary containing a list of results, where each result includes the labor and delivery information for the specified drug.",mcp-drug-regulatory,already-available
get_drug_name_by_microbiology,tool,openFDA drug labeling,general,OrigeneMCP,1,2,NONE,adapter-only,False,"get_drug_name_by_microbiology(microbiology_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves microbiology information for a specific drug from the FDA database by its name. Args: drug_name: The brand or generic name of the drug. Query example: {""drug_name"": ""amoxicillin""} Returns: A dictionary containing a list of results, where each result includes the microbiology information for the specified drug.",mcp-drug-regulatory,already-available
get_drug_name_by_pharmacodynamics,tool,openFDA drug labeling,general,OrigeneMCP,1,2,NONE,adapter-only,False,"get_drug_name_by_pharmacodynamics(pharmacodynamics, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,Retrieve the drug name based on pharmacodynamics information.,mcp-drug-regulatory,already-available
get_drug_name_by_pregnancy_or_breastfeeding_info,tool,openFDA drug labeling,general,OrigeneMCP,1,2,NONE,adapter-only,False,"get_drug_name_by_pregnancy_or_breastfeeding_info(pregnancy_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves pregnancy or breastfeeding information for a specific drug. Args: drug_name: The brand or generic name of the drug. Query example: {""drug_name"": ""Methocarbamol""} Returns: A dictionary containing a list of results, where each result includes the pregnancy or breastfeeding information for the specified drug.",mcp-drug-regulatory,already-available
get_drug_name_by_set_id,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_name_by_set_id(set_id, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,Retrieve the drug name based on the Set ID of the labeling.,mcp-drug-regulatory,already-available
get_drug_name_by_storage_and_handling_info,tool,openFDA drug labeling,general,OrigeneMCP,1,2,NONE,adapter-only,False,"get_drug_name_by_storage_and_handling_info(storage_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve the drug name based on storage and handling information. Args: storage_info: Information about the storage and handling of the drug product.(string) limit: Limit (integer) skip: Skip (integer) Query example: {""storage_info"": ""store between 15-30"", ""limit"": 1, ""skip"": 0} Returns: A dictionary containing the following fields: meta:Pagination metadata,containing following fields: skip:Curren",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_name_by_warnings,tool,openFDA drug labeling,general,OrigeneMCP,1,3,NONE,adapter-only,False,"get_drug_name_by_warnings(warning_text, limit, skip, required)",ToolUniverse (openFDA/OpenTargets/Monarch);openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json;OrigeneMCP/tools/tooluniverse/server.py,"Retrieve the drug names based on specific warning information. Args: warning_text: The warning text to search for in the drug labeling.(string) limit: Limit (integer) skip: Skip (integer) Query example: {""warning_text"": ""early sign of Reye's syndrome"", ""limit"": 1, ""skip"": 0} Returns: A dictionary containing the following fields: meta:Pagination metadata,containing following fields: skip:Current nu",mcp-clinical-genomics;mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_abuse_info,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_abuse_info(abuse_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names based on information about types of abuse and adverse reactions pertinent to those types of abuse. Args: abuse_info: Information about the types of abuse that can occur with the drug. (string) limit: The number of records to return. (integer) skip: The number of records to skip.(integer) Query example: {""abuse_info"": ""The drug may cause respiratory depression and addiction"", ""l",mcp-drug-regulatory,already-available
get_drug_names_by_accessories,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_accessories(accessory_name, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,Retrieve drug names based on the accessories field information.,mcp-drug-regulatory,already-available
get_drug_names_by_active_ingredient,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_active_ingredient(active_ingredient, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names based on the active ingredient information. Args: active_ingredient: The active ingredient in the drug product. (string) limit: Limit (integer) skip: Skip (integer) Query example: {""active_ingredient"": ""ibuprofen"", ""limit"": 5, ""skip"": 0} Returns: A dictionary containing the following fields: meta:Pagination metadata,containing following fields: skip:Current number of skipped re",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_alarm,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_alarm(alarm_type, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names based on the presence of specific alarms, which are related to adverse reaction events.",mcp-drug-regulatory,already-available
get_drug_names_by_animal_pharmacology_info,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_animal_pharmacology_info(pharmacology_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names based on animal pharmacology and toxicology information. Args: pharmacology_info: Information from studies of the drug in animals. (string) limit: Limit (integer) skip: Skip (integer) Query example: {""pharmacology_info"": ""Increased risk of a heart attack"", ""limit"": 1, ""skip"": 0} Returns: A dictionary containing the following fields: meta:Pagination metadata,containing following",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_application_number_manufacturer_name_NDC_number,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_application_number_manufacturer_name_NDC_number(application_manufacturer_or_NDC_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names based on the specified FDA application number, manufacturer name, or National Drug Code (NDC) number. Args: application_manufacturer_or_NDC_info: FDA application, manufacturer, or NDC number info (string) limit: Limit (integer) skip: Skip (integer) Query example: {""application_manufacturer_or_NDC_info"": ""ANDA075139"", ""limit"": 5, ""skip"": 0} Returns: A dictionary containing the f",mcp-drug-regulatory,already-available
get_drug_names_by_assembly_installation_info,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_assembly_installation_info(field_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,Retrieve drug names based on assembly or installation instructions.,mcp-drug-regulatory,already-available
get_drug_names_by_boxed_warning,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_boxed_warning(warning_text, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names that have specific boxed warnings (The most serious risk alerts in drug labeling) and adverse effects. Args: warning_text: The text of the boxed warning to search for. (string) limit: Limit (integer) skip: Skip (integer) Query example: {""warning_text"": ""risks of opioid addiction"", ""limit"": 1, ""skip"": 0} Returns: A dictionary containing the following fields: meta:Pagination meta",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_carcinogenic_mutagenic_fertility_impairment_info,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_carcinogenic_mutagenic_fertility_impairment_info(carcinogenic_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names based on the presence of carcinogenic, mutagenic, or fertility impairment information. Args: carcinogenic_info: Information about carcinogenic, mutagenic, or fertility impairment potential. (string) limit: Limit (integer) skip: Skip (integer) Query example: {""carcinogenic_info"": ""Carcinogenesis, mutagenesis, impairment of fertility"", ""limit"": 1, ""skip"": 0} Returns: A dictionary",mcp-drug-regulatory,already-available
get_drug_names_by_child_safety_info,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_child_safety_info(child_safety_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their child safety information. Args: child_safety_info: A string containing keywords to search for within the child safety information text (e.g., 'children'). Query example: {""child_safety_info"": ""children""} Returns: A dictionary containing a list of drug products whose child safety information matches the search query.",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_clinical_pharmacology,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_clinical_pharmacology(clinical_pharmacology, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their clinical pharmacology information. Args: clinical_pharmacology: A string containing keywords or phrases related to the clinical pharmacology of a drug (e.g., a mechanism of action). Query example: {""clinical_pharmacology"": ""carbonic anhydrase inhibitor""} Returns: A dictionary containing a list of drug products whose clinical pharmacology in",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_clinical_studies,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_clinical_studies(clinical_studies, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their clinical studies information. Args: clinical_studies: A string containing keywords or phrases to search for within the clinical studies text (e.g., 'double-blind'). Query example: {""clinical_studies"": ""double-blind""} Returns: A dictionary containing a list of drug products whose clinical studies information matches the search query.",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_contraindications,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_contraindications(contraindication_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their contraindications information. Args: contraindication_info: A string containing keywords or phrases to search for within the contraindications text (e.g., 'hypersensitivity'). Query example: {""contraindication_info"": ""hypersensitivity""} Returns: A dictionary containing a list of drug products whose contraindications information matches the ",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_controlled_substance_DEA_schedule,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_controlled_substance_DEA_schedule(controlled_substance_schedule, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their DEA controlled substance schedule information. Args: controlled_substance_schedule: A string containing the DEA schedule to search for (e.g., 'Schedule II'). Query example: {""controlled_substance_schedule"": ""Schedule II""} Returns: A dictionary containing a list of drug products whose controlled substance schedule information matches the sea",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_dear_health_care_provider_letter_info,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_dear_health_care_provider_letter_info(letter_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Fetch drug names based on information about dear health care provider letters. The letters are sent by drug manufacturers to provide new or updated information about the drug. Args: letter_info: Letter_info (string) limit: Limit (integer) skip: Skip (integer) Query example: {""letter_info"": ""dosage adjustment"", ""limit"": 2, ""skip"": 0} Returns: List of dictionaries containing information about each m",mcp-drug-regulatory,already-available
get_drug_names_by_disposal_info,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_disposal_info(disposal_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their disposal and waste handling information. Args: disposal_info: A string containing keywords or phrases to search for within the disposal information text (e.g., 'hazardous'). Query example: {""disposal_info"": ""hazardous""} Returns: A dictionary containing a list of drug products whose disposal information matches the search query.",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_dosage_forms_and_strengths_info,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_dosage_forms_and_strengths_info(dosage_forms_and_strengths, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their dosage forms and strengths information. Args: dosage_forms_and_strengths: A string containing keywords to search for within the dosage forms and strengths text (e.g., '10 mg tablet'). Query example: {""dosage_forms_and_strengths"": ""10 mg tablet""} Returns: A dictionary containing a list of drug products whose dosage forms and strengths inform",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_drug_interactions,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_drug_interactions(interaction_term, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves a list of drug names that have known interactions with a specified term. Args: interaction_term: The term to search for in drug interactions (e.g., 'aspirin'). Query example: {""interaction_term"": ""aspirin""} Returns: A dictionary containing a list of drug products whose drug interaction information matches the search query.",mcp-drug-regulatory,already-available
get_drug_names_by_effective_time,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_effective_time(effective_time, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names based on the effective time of the labeling document. Args: effective_time: Effective_time (string) limit: Limit (integer) skip: Skip (integer) Query example: {""effective_time"": ""2023-06-13"", ""limit"": 5, ""skip"": 0} Returns: List of dictionaries containing information about each matching drug, including: Brand Name: The marketed or commercial name(s) of the drug Generic Name: Th",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_food_safety_warnings,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_food_safety_warnings(field_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names based on specific food safety warnings. Args: field_info: Field_info (string) limit: Limit (integer) skip: Skip (integer) Query example: {""field_info"": ""allergy"", ""limit"": 2, ""skip"": 0} Returns: List of drug names with associated food safety warnings",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_health_claim,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_health_claim(health_claim, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names based on specific health claims. Args: health_claim: Health_claim (string) limit: Limit (integer) skip: Skip (integer) Query example: {""health_claim"": ""example_health_claim"", ""limit"": 0, ""skip"": 0} Returns: List of drug names associated with health claims",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_indication,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_indication(indication, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve a list of drug names based on a specific indication or usage. Args: indication: Indication (string) limit: Limit (integer) skip: Skip (integer) Query example: {""indication"": ""hypertension"", ""limit"": 2, ""skip"": 0} Returns: List of dictionaries containing information about each matching drug, including: Brand Name: Commercial/marketed name Generic Name: Official generic ingredient name Indi",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_info_for_nursing_mothers,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_info_for_nursing_mothers(nursing_mothers_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their information for nursing mothers. Args: nursing_mothers_info: A string containing keywords to search for within the nursing mothers text (e.g., 'excreted'). Query example: {""nursing_mothers_info"": ""excreted""} Returns: A dictionary containing a list of drug products whose nursing mothers information matches the search query.",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_info_on_consulting_doctor_pharmacist_for_drug_interactions,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_info_on_consulting_doctor_pharmacist_for_drug_interactions(interaction_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names based on information about when a doctor or pharmacist should be consulted regarding drug interactions. Args: interaction_info: Interaction_info (string) limit: Limit (integer) skip: Skip (integer) Query example: {""interaction_info"": ""taking a prescription drug for gout diabetes arthritis"", ""limit"": 1, ""skip"": 0} Returns: A dictionary containing the following fields: meta:Pagin",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_information_for_owners_or_caregivers,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_information_for_owners_or_caregivers(field_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names based on information for owners or caregivers. Args: field_info: Field_info (string) limit: Limit (integer) skip: Skip (integer) Query example: {""field_info"": ""store medication away from children"", ""limit"": 2, ""skip"": 0} Returns: List of drug names based on matching caregiver-related information",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_ingredient,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_ingredient(ingredient_name, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names based on a specific ingredient present in the drug product. Args: ingredient_name: The name of the ingredient to search for in drug products. (string) limit: Limit (integer) skip: Skip (integer) Query example: {""ingredient_name"": ""CELLULOSE"", ""limit"": 1, ""skip"": 0} Returns: A dictionary containing the following fields: meta:Pagination metadata,containing following fields: skip:",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_instructions_for_use,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_instructions_for_use(instructions_for_use, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their instructions for use. Args: instructions_for_use: A string containing keywords or phrases to search for within the instructions for use text (e.g., 'shake well'). Query example: {""instructions_for_use"": ""shake well""} Returns: A dictionary containing a list of drug products whose instructions for use match the search query.",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_lab_test_interference,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_lab_test_interference(lab_test_interference, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their laboratory test interference information. Args: lab_test_interference: A string containing keywords or phrases to search for within the lab test interference text (e.g., 'urine'). Query example: {""lab_test_interference"": ""urine""} Returns: A dictionary containing a list of drug products whose laboratory test interference information matches ",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_lab_tests,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_lab_tests(lab_test_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their laboratory tests information. Args: lab_test_info: A string containing keywords to search for within the laboratory tests text (e.g., 'glucose'). Query example: {""lab_test_info"": ""glucose""} Returns: A dictionary containing a list of drug products whose laboratory tests information matches the search query.",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_mechanism_of_action,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_mechanism_of_action(mechanism_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their mechanism of action information. Args: mechanism_info: A string containing keywords or phrases to search for within the mechanism of action text (e.g., 'dopamine receptor agonist'). Query example: {""mechanism_info"": ""dopamine receptor agonist""} Returns: A dictionary containing a list of drug products whose mechanism of action information ma",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_nonclinical_toxicology_info,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_nonclinical_toxicology_info(toxicology_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their nonclinical toxicology information. Args: toxicology_info: A string containing keywords to search for within the nonclinical toxicology text (e.g., 'carcinogenesis'). Query example: {""toxicology_info"": ""carcinogenesis""} Returns: A dictionary containing a list of drug products whose nonclinical toxicology information matches the search query",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_nonteratogenic_effects,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_nonteratogenic_effects(nonteratogenic_effects, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,Retrieve drug names based on the presence of nonteratogenic effects information.,mcp-drug-regulatory,already-available
get_drug_names_by_overdosage_info,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_overdosage_info(overdosage_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their overdosage information. Args: overdosage_info: A string containing keywords to search for within the overdosage text (e.g., 'coma'). Query example: {""overdosage_info"": ""coma""} Returns: A dictionary containing a list of drug products whose overdosage information matches the search query.",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_pediatric_use,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_pediatric_use(pediatric_use_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,Retrieve drug names based on pediatric use information.,mcp-drug-regulatory,already-available
get_drug_names_by_pregnancy_effects_info,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_pregnancy_effects_info(pregnancy_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their pregnancy effects information. Args: pregnancy_info: A string containing keywords to search for within the pregnancy effects text (e.g., 'teratogenic'). Query example: {""pregnancy_info"": ""teratogenic""} Returns: A dictionary containing a list of drug products whose pregnancy effects information matches the search query.",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_residue_warning,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_residue_warning(residue_warning, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their residue warning information. Note: The underlying data is sparse, and many search terms may result in a null return. Args: residue_warning: A string containing keywords to search for within the residue warning text (e.g., 'slaughter'). Query example: {""residue_warning"": ""slaughter""} Returns: A dictionary containing a list of drug products w",mcp-drug-regulatory,already-available
get_drug_names_by_risk,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_risk(risk_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their risk information, especially regarding pregnancy or breastfeeding. Args: risk_info: A string containing keywords to search for within the risk information text (e.g., 'fetal'). Query example: {""risk_info"": ""fetal""} Returns: A dictionary containing a list of drug products whose risk information matches the search query.",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_route,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_route(route, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their route of administration. Args: route: A string containing the route of administration to search for (e.g., 'oral'). Query example: {""route"": ""oral""} Returns: A dictionary containing a list of drug products whose route of administration matches the search query.",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_safe_handling_warning,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_safe_handling_warning(safe_handling_warning, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieves drug names based on a search query within their safe handling warning information. Note: The underlying data is sparse, and many search terms may result in a null return. Args: safe_handling_warning: A string containing keywords to search for within the safe handling warning text (e.g., 'hazardous'). Query example: {""safe_handling_warning"": ""hazardous""} Returns: A dictionary containing a",mcp-drug-regulatory,already-available
get_drug_names_by_safety_summary,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_safety_summary(summary_text, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,Retrieve drug names based on the summary of safety and effectiveness information.,mcp-drug-regulatory,already-available
get_drug_names_by_spl_indexing_data_elements,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_spl_indexing_data_elements(spl_indexing_data_elements, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,Retrieve drug names based on Structured Product Labeling (SPL) indexing data elements.,mcp-drug-regulatory,already-available
get_drug_names_by_teratogenic_effects,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_teratogenic_effects(teratogenic_effects, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names based on specific teratogenic effects categories. Args: teratogenic_effects: The teratogenic effects category to search for (e.g., Pregnancy category A, B, C, D, or X) (string) limit: Limit (integer) skip: Skip (integer) Query example: {""teratogenic_effects"": "" affect reproduction capacity"", ""limit"": 1, ""skip"": 0} Returns: A dictionary containing the following fields: meta:Pagi",mcp-drug-regulatory;mcp-protein-annotation,already-available
get_drug_names_by_warnings_and_cautions,tool,openFDA drug labeling,general,OrigeneMCP,1,1,NONE,adapter-only,False,"get_drug_names_by_warnings_and_cautions(warnings_and_cautions_info, limit, skip, required)",openFDA drug labeling,OrigeneMCP/tools/tooluniverse/data/fda_drug_labeling_tools.json,"Retrieve drug names based on specific warnings and cautions information. Args: warnings_and_cautions_info: The warnings and cautions text to search for. limit: Limit (integer) skip: Skip (integer) Query example: {""warnings_and_cautions_info"": ""increases the risk of bleeding"", ""limit"": 1, ""skip"": 0} Returns: A dictionary containing the following fields: meta:Pagination metadata,containing following",mcp-drug-regulatory,already-available
